,Class
100623,1
249068,0
91281,0
130469,0
228786,0
119137,0
253264,0
154454,1
84400,0
102445,1
128570,0
17407,1
140674,0
42609,1
105178,1
128360,0
54058,0
73784,1
541,1
41903,0
106503,0
154694,1
264044,0
56511,0
130703,0
15751,1
73394,0
42887,1
218373,0
27627,1
150678,1
74794,1
144754,1
93604,0
184379,1
269651,0
77099,1
114970,0
164636,0
194169,0
92401,0
103517,0
14170,1
6446,1
233258,1
209539,0
249234,0
37021,0
238222,1
46630,0
108708,1
29879,0
15204,1
213842,0
253015,0
192687,1
109314,0
167184,1
102443,1
93788,1
197586,1
120806,0
212644,1
15635,0
243699,1
160878,0
201098,1
30384,1
182992,1
33738,0
79835,1
235644,1
243547,1
115818,0
4326,0
90639,0
213092,1
95397,0
6609,1
82815,0
154587,1
193804,0
26819,0
145800,1
6900,0
272521,1
243254,0
207837,0
97221,0
116619,0
259940,0
264360,0
42009,1
32123,0
277689,0
121998,0
224006,0
258256,0
57449,0
151006,1
93424,1
96638,0
198695,0
167546,0
156373,0
88307,1
267353,0
166420,0
101509,1
145435,0
147548,1
30442,1
79525,1
203873,0
230638,0
250196,0
249167,1
102015,0
153885,1
147605,1
15539,1
204618,0
9252,1
265945,0
130547,0
263274,1
213116,1
67367,0
215752,0
18388,0
204269,0
10801,1
150667,1
73857,1
15566,1
151519,1
255941,0
15810,1
107070,0
8615,1
167653,0
31350,0
75491,0
159605,0
6329,1
69980,1
37323,0
115483,0
223366,1
132061,0
184466,0
255556,1
191544,1
41395,1
118858,0
242186,0
51074,0
39155,0
52599,0
76903,0
259279,0
150661,1
245556,1
124659,0
241445,1
14197,1
198868,1
198111,0
15476,1
217983,0
241205,0
34030,0
8845,1
157121,0
149522,1
46998,1
9942,0
146790,1
117510,0
42945,1
26802,1
219025,1
19163,0
123238,1
139936,0
129095,0
23922,0
142966,0
157871,1
65352,0
83297,1
174869,0
107637,1
276071,1
102782,1
254654,0
149139,0
150665,1
149372,0
42936,1
133744,0
196713,0
117561,0
102442,1
46918,1
222133,1
64411,1
6719,1
12261,1
255636,0
154538,0
79883,1
92777,1
239501,1
6717,1
156015,0
6336,1
11710,1
18472,1
231673,0
143728,1
17480,1
137853,0
150662,1
154286,1
9179,1
229730,1
179663,0
149577,1
159252,0
78827,0
284161,0
167055,0
6338,1
8842,1
251477,1
111115,0
96853,0
206685,0
102446,1
151586,0
42635,1
150618,0
151008,1
215132,1
144108,1
11306,0
153244,0
240424,0
96341,1
251247,0
150669,1
13229,0
223578,1
27749,1
63421,1
123270,1
216477,0
134697,0
10897,1
91671,1
166235,0
192584,1
193552,0
202002,0
254395,1
167305,1
250761,1
30100,1
12369,1
16863,1
6882,1
150666,1
15781,1
144486,0
234574,1
286,0
122060,0
203846,0
279863,1
133298,0
144104,1
154693,1
1632,0
216913,0
189701,1
26103,0
84543,1
3765,0
195032,0
47181,0
29687,1
11544,0
106535,0
116158,0
154668,1
42756,1
45203,1
150677,1
230249,0
234633,1
9308,0
238466,1
251904,1
9868,0
230476,1
218019,0
143335,1
150644,1
191359,1
105044,0
68067,1
16836,0
15225,1
249581,0
204503,1
61787,1
156255,0
87354,1
5321,0
17366,1
150692,1
189878,1
280149,1
275198,0
156990,1
220313,0
180786,0
127699,0
47211,0
43624,1
27362,1
254344,1
145948,0
78581,0
46101,0
186389,0
19034,0
86155,1
263877,1
147597,0
42769,1
151009,1
105595,0
16780,1
227084,0
150462,0
29799,0
40208,0
135718,1
20198,1
220725,1
33276,1
4595,0
106679,1
88876,1
281674,1
6427,1
76609,1
172787,1
10497,1
249239,1
235634,1
64460,1
192001,0
204079,1
235616,1
135896,0
5006,0
250094,0
70301,0
149117,0
40758,0
75511,1
64971,0
81609,1
176523,0
34480,0
151007,1
45732,1
43052,0
183470,0
118308,1
226181,0
70589,1
189587,1
274702,0
237107,1
262560,1
120505,1
262826,1
181966,1
125342,1
52466,1
237410,0
147472,0
265723,0
72757,1
10891,1
110178,0
135806,0
95242,0
154908,0
58422,1
255955,0
191267,1
169145,0
68320,1
116139,1
48444,0
24951,0
122088,0
253532,0
46961,0
195383,1
124087,1
267104,0
119781,1
133945,0
268375,1
44091,1
219892,1
9399,0
169790,0
220084,0
214775,1
79671,0
111690,1
211415,0
154371,1
109687,0
10630,1
222419,1
258439,0
83417,1
168074,0
154719,1
15736,1
253539,0
94929,0
10690,1
27220,0
124511,0
116404,1
18773,1
114166,0
14211,1
248792,0
224102,0
4920,1
226607,0
153823,1
241910,0
52584,1
63341,0
48094,1
41943,1
249963,1
232470,0
8296,1
176049,1
102444,1
248699,0
154718,1
151196,1
57248,1
83936,0
274382,1
283921,0
150687,1
143028,0
149357,1
6903,1
9065,0
77387,1
52352,0
6899,1
261056,1
58113,0
6641,1
125860,0
101748,0
142557,1
217017,0
16415,1
6774,1
89844,0
89190,1
130534,0
46909,1
252124,1
155694,0
77867,0
237164,0
52199,0
154633,1
143334,1
276864,1
234632,1
114271,1
141259,1
280143,1
4857,0
112532,0
10484,1
31119,0
154697,1
208899,0
101063,0
9035,1
260610,0
69184,0
143731,1
119714,1
183320,0
123117,0
151834,0
177708,0
248971,1
124735,0
84102,0
261925,1
154960,1
143333,1
229712,1
150925,1
40654,0
65868,0
122586,0
190368,1
192432,0
173084,0
623,1
85145,0
94218,1
122583,0
223572,1
150684,1
211592,0
251866,1
66917,0
154670,1
150647,1
6870,1
274475,1
273044,0
218861,0
15506,1
74507,1
183052,0
253486,0
88340,0
42958,1
13012,0
143520,0
42856,1
175107,0
133827,0
42007,1
210277,0
43428,1
36257,0
150679,1
9509,1
148059,0
128464,0
153835,1
241254,1
30398,1
1734,0
8312,1
8335,1
223222,0
24337,0
127053,0
168462,0
20422,0
179669,0
143336,1
149874,1
